"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"THM9QTHX","report","","","USGS Open-File Report 2010-1097: Biosecurity Plan for Palmyra Atoll","","","","","https://pubs.usgs.gov/of/2010/1097/","","","2022-08-12 20:07:35","2022-08-12 20:07:35","2022-05-20 01:06:55","","","","","","","","","","","","","","","","","","","","","","","","","padl40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZRKUXD2","journalArticle","2013","Carballo, José   Luis; Aguilar-Camacho, Jose   María; Knapp, Ingrid S.; Bell, James J.","Wide distributional range of marine sponges along the Pacific Ocean","Marine Biology Research","","1745-1000","10.1080/17451000.2013.765581","https://doi.org/10.1080/17451000.2013.765581","Widespread geographic distribution of sponges should be rare, mainly because of the low dispersal capacity of their larvae and asexual products. Here we investigate the potential wide-scale distribution range in one marine sponge, Gelliodes wilsoni, that has been spread widely around the Pacific Rim by shipping. The species was originally described from the Philippines (western Pacific Ocean) by Wilson in 1925 as Gelliodes fibrosa. Recently, similar specimens have been collected from Guam (western Pacific Ocean), Hawaii, Palmyra Atoll (central Pacific Ocean), Acapulco Bay and Baja Peninsula (eastern Pacific Ocean). This species now appears to be widely distributed across the Pacific Ocean, and this distribution seems unlikely to have resulted from an extremely high dispersal capability; it is most likely the result of centuries of trans-Pacific shipping. We also propose the new name G. wilsoni for the species G. fibrosa originally described by Wilson because the same name was previously used by Dendy in 1905 to describe a species from Sri Lanka, which is morphologically different from the species described by Wilson. The case of G. wilsoni is not unique because several sponges (discussed here) have similar distribution patterns across the Pacific (at locations more than 10,000 km apart). This suggests an east–west connectivity and that widespread distribution in sponges is indeed possible, albeit the result of human activities. In an increasingly connected world our research highlights the importance of understanding connectivity across oceanic scales in order to predict where invasive species are likely to occur.","2013-10-01","2022-08-12 20:07:35","2022-08-12 20:07:35","2022-05-26 23:26:18","768-775","","8","9","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","","","/Users/camilavargas/Zotero/storage/EAJJQ322/Carballo et al. - 2013 - Wide distributional range of marine sponges along .pdf; /Users/camilavargas/Zotero/storage/EVFZBTVV/Carballo et al. - 2013 - Wide distributional range of marine sponges along .html","","Pacific Ocean; Anthropogenic biogeography; human dispersal; padl69; sponges; widespread distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45TX58CP","journalArticle","2016","Rogers, Justin S.; Monismith, Stephen G.; Koweek, David A.; Dunbar, Robert B.","Wave dynamics of a Pacific Atoll with high frictional effects","Journal of Geophysical Research: Oceans","","2169-9291","10.1002/2015JC011170","https://onlinelibrary.wiley.com/doi/abs/10.1002/2015JC011170","We report field measurements of waves and currents made from September 2011 to July 2014 on Palmyra Atoll in the central Pacific that were used in conjunction with the SWAN wave model to characterize the wave dynamics operant on the atoll. Our results indicate that wave energy is primarily from the north during the northern hemisphere winter and from the south in the northern hemisphere summer. Refraction of waves along the reef terraces due to variations in bathymetry leads to focusing of waves in specific locations. Bottom friction, modeled with a modified bottom roughness formulation, is the significant source of wave energy dissipation on the atoll, a result that is consistent with available observations of wave damping on Palmyra. Indeed modeled wave dissipation rates from bottom friction are on average larger than dissipation rates due to breaking and are an order of magnitude larger than what has been observed on other, less geometrically complex reefs, a result which should be corroborated with future in situ measurements. The SWAN wave model with a modified bottom friction formulation better predicts bulk wave energy properties than the existing formulation at our measurement stations. The near bed squared velocity, a proxy for bottom stress, shows strong spatial variability across the atoll and exerts control over geomorphic structure and benthic community composition.","2016","2022-08-12 20:07:35","2022-08-12 20:07:35","2022-06-02 18:31:37","350-367","","1","121","","","","","","","","","","en","","","","","Wiley Online Library","","","","/Users/camilavargas/Zotero/storage/GIFQQESR/Rogers et al. - 2016 - Wave dynamics of a Pacific Atoll with high frictio.pdf; /Users/camilavargas/Zotero/storage/73K92WRJ/Rogers et al. - 2016 - Wave dynamics of a Pacific Atoll with high frictio.html","","coral reef; atoll; bottom friction; geomorphology; padl87; surface waves; wave breaking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVT78J66","thesis","2012","Brooke Kelly, Elizabeth","Using Stable Isotope Analysis to Assess the Foraging Habits of Palmyra Atoll Green Turtles (Chelonia mydas)","","","","","https://georgehbalazs.com/wp-content/uploads/2021/05/EBKelly-Thesis_FINAL-THESIS.pdf","Juvenile green turtles (Chelonia mydas) undergo an ontogenetic habitat shift to neritic developmental grounds after an initial period of development in the pelagic environment. Post- pelagic juveniles are believed to undergo a switch from omnivory to herbivory upon recruitment to foraging grounds. However, recent evidence suggests that some populations of green turtles may not undergo direct ontogenetic habitat and dietary shifts and may continue to supplement their herbivorous diet with animal products into adulthood. The individual and population level variability of this shift has not been extensively studied and further support is needed to substantiate if these are widespread phenomena. The Palmyra Atoll National Wildlife Refuge (PANWR), a remote uninhabited atoll in the central Pacific, currently serves as a mixed-stage foraging ground for juvenile, subadult and adult green turtles, yet little is known about the ecology of this population. The presence and timing of ontogenetic shifts, stage-specific foraging habits, and spatial variation in foraging habits, are all unresolved questions regarding of green turtle foraging ecology in the Palmyra Atoll population. Stable isotopes of carbon (! 13 C) and nitrogen (! 15 N) provide information on diet and trophic position allowing for a more thorough understanding of the ontogeny of Palmyra Atoll green turtle foraging behavior. The carapace, or dorsal section of a sea turtle shell, is composed of keratin covered bony plates called scutes. Scute tissue is often used for isotopic studies because keratin is metabolically inactive thus retaining the isotopic signature of the assimilated elements of the diet from the time of tissue synthesis. Isotopic signatures of successive scute layers may therefore be analyzed to identify when dietary shifts occur during recruitment to foraging grounds. In addition, comparison of isotopic signatures in the most recently deposited tissue layer allows for examination of spatial variation and stage-specific foraging habits in the Palmyra Atoll population. Two scute biopsy samples, posterior (oldest tissue) and anterior (younger tissue), were collected from live-captured green turtle from 2008 to 2010. Size classes were determined using curved carapace length (CCL) as a proxy for age resulting in juvenile (30.0 – 64.9 cm CCL), sub-adult (65 – 84.9 CCL) and adult (85 - 120 CCL) size classes. A total of 28 juveniles, 26 sub- adults and 21 adults were sampled. Prey items, such as epiphytic turf algae, macroalgae and sponges, were also collected for stable isotope analyses. Analysis of the ! 13 C and ! 15 N values of successive 50 μm layers from juvenile posterior biopsy samples (n = 17) allowed for examination of resource use over time, providing insight on the timing of ontogenetic shifts. Analysis of layer isotopic signatures using a linear mixed model provided insight on the timing of ontogenetic shifts. In addition, the ! 13 C and ! 15 N values of the most recently deposited tissue layer (i.e. inner anterior layer, n = 75) were used to examine stage- specific habits and describe spatial variation in foraging habits. Palmyra Atoll juvenile green turtles do not exhibit ! 15 N values that could be attributed to a drop in trophic level or a switch from omnivory to herbivory. It is possible that the enriched nitrogen found in algae is helping to maintain the enriched nitrogen levels seen in recent juvenile green turtle recruits. High levels of individual variation in layer ! 13 C and ! 15 N suggest that this may be a generalist population. In addition, differing ! 15 N signatures among size classes (Kruskal-Wallis, p = 0.001) suggests that individuals may forage at different trophic levels. Enriched ! 15 N signatures may signify ingestion of animal products. These stage-specific habits appear to be related to habitat selection preferences as individual size distribution differs between the four sampling regions (CCL: Kruskal-Wallis, F = 8.937, df = 3, p = 0.030; Mass: Kruskal-Wallis, F = 10.979, df = 3, p = 0.012); this could be due to habitat preferences or to distinct dietary items consumed in the atoll regions. The Palmyra Atoll population contains individuals that likely utilize a more variable and complex dietary repertoire including omnivorous prey items. Distribution of ! 13 C signatures did not differ across size classes (Kruskal-Wallis, p = 0.808) however ! 15 N values did differ across size classes (Kruskal-Wallis, p = 0.001); subadults being less enriched in nitrogen than adults (Mann-Whitney U p < 0.001) and juveniles (Mann- Whitney U p < 0.05). Size class distribution and ! 15 N values differ between sampling locations suggesting some spatial structure to the Palmyra foraging grounds. Using ! 13 C and ! 15 N ratios to determine the spatial and temporal variation in sea turtle foraging habitat will help fill an important gap in our knowledge of sea turtle ecology and identify critical areas for sea turtle habitat conservation at Palmyra Atoll. This study will also contribute to a better understanding of the variation in ontogenetic diet shifts of juvenile greensea turtles as they recruit to neritic foraging grounds.","2012","2022-08-12 20:07:35","2022-08-12 20:07:35","","","","","","","","","","","","","","","English","","PhD","","","","","","","/Users/camilavargas/Zotero/storage/BPRZDEUT/Brooke_Kelly_thesis_2012.pdf","","padl65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEWQI2B2","journalArticle","2016","McCauley, Douglas J.; DeSalles, Paul A.; Young, Hillary S.; Gardner, Jonathan P. A.; Micheli, Fiorenza","Use of high-resolution acoustic cameras to study reef shark behavioral ecology","Journal of Experimental Marine Biology and Ecology","","0022-0981","10.1016/j.jembe.2016.04.012","https://www.sciencedirect.com/science/article/pii/S0022098116300855","Shark species play an important role in shaping marine communities, ecosystems, and community assemblages, yet their high mobility and low abundances in certain locations makes studying the way they interact with these systems difficult. Here high-resolution acoustic cameras are demonstrated as effective tools to study the ecology and behavior of reef and coastal sharks that operate in the vicinity of a near-pristine coral reef atoll. The acoustic camera generated detailed imagery and size measurements from >1000 sightings of sharks that traversed a discrete corridor linking two of the atoll's distinct marine habitats, the forereef and offshore pelagic habitat with the atoll's lagoon. Daily shark density and estimated biomass values varied considerably through time, but generally approximated values calculated using less comprehensive and more labor-intensive techniques at this same atoll. Diel patterns in shark movements revealed elevated shark presence during low-light periods of the day (e.g. peak sighting density just after dusk), but weaker links between shark movement patterns and tides. Data gathered through use of this tool extends and reinforces some of the observations made of smaller numbers of sharks using traditional data collection methods while providing unique additional insights into the ways that larger numbers of sharks operate at fine spatial scales over longer periods of time. Behavioral information of this type is critical to developing effective management plans for these vulnerable species.","2016-09-01","2022-08-12 20:07:34","2022-08-12 20:07:34","2022-06-02 18:35:49","128-133","","","482","","Journal of Experimental Marine Biology and Ecology","","","","","","","","en","","","","","ScienceDirect","","","","/Users/camilavargas/Zotero/storage/DKVU7ZBT/McCauley et al. - 2016 - Use of high-resolution acoustic cameras to study r.html","","Acoustic camera; Behavior; Mobile species; Movement ecology; padl88; Sharks; Sonar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42JAZMSC","bookSection","2008","Maragos, James; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Tsuda, Roy; Flint, Elizabeth; Pantos, Olga; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Siciliano, Daria; Obura, David","US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: Status, Threats and Significance","Coral Reefs of the USA","978-1-4020-6847-8","","","https://doi.org/10.1007/978-1-4020-6847-8_16","This is the second of two chapters on the coral reefs of the five US Line and Phoenix Islands, consisting of Baker, Howland and Jarvis Islands, Kingman Reef, ; and Palmyra Atoll (Fig. 16.1). The previous chapter (Chapter 15, Maragos et al.) covers the history, geology, oceanography and biology, while this chapter covers the status, threats and significance of the five. All are low reef islets or atolls in the central Pacific Ocean administered by the US Fish and Wildlife Service as National Wildlife Refuges. These 5 Refuges are among 20 within the tropical Pacific and among 10 that protect coral reefs. Together they are geographically a part of the largest series of fully protected marine areas under unified management in the world.","2008","2022-08-12 20:07:34","2022-08-12 20:07:34","2022-05-19 23:28:33","643-654","","","","","","US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean","Coral Reefs of the World","","","","Springer Netherlands","Dordrecht","en","","","","","Springer Link","","DOI: 10.1007/978-1-4020-6847-8_16","","/Users/camilavargas/Zotero/storage/EWGMWMWM/Maragos et al. - 2008 - US Coral Reefs in the Line and Phoenix Islands, Ce.pdf","","Central Pacific Ocean; Coral Reef; National Wildlife Refuge; padl13; Reef Shark; World Heritage","","Riegl, Bernhard M.; Dodge, Richard E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERZ6WDNB","bookSection","2008","Maragos, James; Miller, Joyce; Gove, Jamison; De Martini, Edward; Friedlander, Alan M.; Godwin, Scott; Musburger, Craig; Timmers, Molly; Tsuda, Roy; Vroom, Peter; Flint, Elizabeth; Lundblad, Emily; Weiss, Jonathan; Ayotte, Paula; Sala, Enric; Sandin, Stuart; McTee, Sarah; Wass, Todd; Siciliano, Daria; Brainard, Russell; Obura, David; Ferguson, Scott; Mundy, Bruce","US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: History, Geology, Oceanography, and Biology","Coral Reefs of the USA","978-1-4020-6847-8","","","https://doi.org/10.1007/978-1-4020-6847-8_15","Pacific remote island areas (PRIA) are sovereign United States unincorporated and unorganized territories not falling within the jurisdiction of any other US territory or State (GAO 1997; US DOI 2003). There are eight PRIA and all are under the jurisdiction of the US Department of Interior (DOI). All are low reef islets or atolls in the central Pacific Ocean. Table 15.1 and Fig. 15.1 present the size, location, and regional geography of the five PRIA that are the primary focus in this chapter: Baker and Howland Islands in the Phoenix Islands ; and Jarvis Island, Kingman Reef, and Palmyra Atoll in the Line Islands. All five are located between Hawai’i and Samoa and are National Wildlife Refuges (NWR) administered by the US Fish and Wildlife Service (USFWS). The remaining three PRIA: Johnston Atoll NWR, Midway Atoll NWR, and Wake Atoll, are the subject of other chapters in this volume (Chapter 13, Rooney et al.; Chapter 17, Lobel and Lobel). Johnston Atoll is mentioned in this chapter because it is geologically part of the Line Islands archipelago. Wake Atoll, administered by the US.","2008","2022-08-12 20:07:34","2022-08-12 20:07:34","2022-05-19 23:31:51","595-641","","","","","","US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean","Coral Reefs of the World","","","","Springer Netherlands","Dordrecht","en","","","","","Springer Link","","DOI: 10.1007/978-1-4020-6847-8_15","","/Users/camilavargas/Zotero/storage/EU3KW2WF/Maragos et al. - 2008 - US Coral Reefs in the Line and Phoenix Islands, Ce.pdf","","Crustose Coralline Alga; Coral Reef; National Wildlife Refuge; Fore Reef; Green Turtle; padl14","","Riegl, Bernhard M.; Dodge, Richard E.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2CTQM76","journalArticle","2010","Houlbrèque, Fanny; McCulloch, Malcolm; Roark, Brendan; Guilderson, Tom; Meibom, Anders; Kimball, Justine; Mortimer, Graham; Cuif, Jean-Pierre; Dunbar, Robert","Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific","Geochimica et Cosmochimica Acta","","0016-7037","10.1016/j.gca.2010.01.017","https://www.sciencedirect.com/science/article/pii/S0016703710000268","The deep-sea coral, Enallopsammia rostrata, a member of the Dendrophylliidae family, is a major structure-forming species that creates massive dendroid colonies, up to 1m wide and 0.5m tall. Living colonies of E. rostrata have been collected using the PISCES submersibles from three locations from 480 to 788m water depth in the Line Islands (∼160°W) in the Equatorial Pacific. We have applied to these colonies a high sensitivity, low blank technique to determine U-series ages in small quantities (70±15mg) of modern and near modern calcareous skeletons using MC-ICP-MS (Multi-collector Inductively Coupled Plasma Mass Spectrometer). The application of this method to living slow-growing colonies from a range of sites as well as the observations of axial growth patterns in thin sections of their skeletons offer the first expanded and well constrained data on longevity, growth pattern and mean growth rates in E. rostrata. Absolute dated specimens indicate life spans of colonies ranging from 209±8 yrs to 605±7 yrs with radial growth rates from 0.012 to 0.072mmyr−1 and vertical extension rates from 0.6 to 1.9mmyr−1. The linear growth rates reported here are lower than those reported for other deep-sea scleractinian corals (Lophelia pertusa and Madrepora oculata). The U-series dating indicates that the growth ring patterns of E. rostrata are not consistent with annual periodicity emphasizing the importance of absolute radiometric dating methods to constrain growth rates. Slow accretion and extreme longevity make this species and its habitat especially vulnerable to disturbances and impacts from human activities. This dating method combined with observation of growth patterns opens up new perspectives in the field of deep-sea corals since it can provide quantitative estimates of growth rates and longevity of deep-sea corals in general.","2010-04-15","2022-08-12 20:07:33","2022-08-12 20:07:33","2022-05-20 00:57:33","2380-2395","","8","74","","Geochimica et Cosmochimica Acta","Uranium-series dating and growth characteristics of the deep-sea scleractinian coral","","","","","","","en","","","","","ScienceDirect","","","","/Users/camilavargas/Zotero/storage/5B7KQWDC/Houlbrèque et al. - 2010 - Uranium-series dating and growth characteristics o.html","","padl36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDEFIXHJ","journalArticle","2020","Harries, Hugh C.; Pignotti, Lia; Baldini, Riccardo M.","Unraveling the taxonomic identity of Cocos nucifera f. palmyrensis (Arecaceae: Cocoseae)","Candollea","","0373-2967, 2235-3658","10.15553/c2020v751a2","https://bioone.org/journals/candollea/volume-75/issue-1/c2020v751a2/Unraveling-the-taxonomic-identity-of-Cocos-nucifera-f-palmyrensis-Arecaceae/10.15553/c2020v751a2.full","Harries, H.C.†, L. Pignotti & R.M. Baldini (2020). Unraveling the taxonomic identity of Cocos nucifera f. palmyrensis (Arecaceae: Cocoseae). Candollea 75: 25–30. In English, English abstract.The main traits of the rich equatorial vegetation covering the remote coral atoll Palmyra in North Pacific Ocean, where groves of Cocos nucifera L. (Arecaceae) currently dominate on other formations, are here summoned. Way and timing of human activities in historical and more recent times, which possibly altered the original vegetation, are also briefly reviewed. The unusually large size of Palmyra coconut fruits had astonished the American botanist Joseph Francis Rock (1884–1962) who sent four fruits to the renowned Florentine palm specialist Odoardo Beccari (1843–1920). Beccari described the material and validly published it in 1916 as Cocos nucifera f. palmyrensis Becc. Part of the original material was retrieved at FI. One of the two coconut fruits still kept at FI is here designated as lectotype of the Beccari name, which is here elevated to the rank of variety, reflecting better than form current concepts for isolated island populations. Palmyra Atoll with its coconuts played a part in the age-old dispute on the geographical origin of Cocos nucifera. This taxon was cited by Beccari and by Emilio Chiovenda (1871–1941) as a support to their hypotheses of an Asian origin of the species. The significance of these dated interpretations in the light of currently available information is here briefly discussed.Received: October 16, 2019; Accepted: February 4, 2020; First published online: March 24, 2020","2020-03","2022-08-12 20:07:33","2022-08-12 20:07:33","2022-08-03 18:36:19","25-30","","1","75","","cand","Unraveling the taxonomic identity of Cocos nucifera f. palmyrensis (Arecaceae","","","","","","","","","","","","bioone.org","","","","/Users/camilavargas/Zotero/storage/KQT8QRDR/Harries et al. - 2020 - Unraveling the taxonomic identity of Cocos nucifer.pdf; /Users/camilavargas/Zotero/storage/XR7SK2D2/Harries et al. - 2020 - Unraveling the taxonomic identity of Cocos nucifer.html","","padl209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4WGN3FG","journalArticle","2020","Keller, Lena; Canuto, Kirley Marques; Liu, Chenxi; Suzuki, Brian M.; Almaliti, Jehad; Sikandar, Asfandyar; Naman, C. Benjamin; Glukhov, Evgenia; Luo, Danmeng; Duggan, Brendan M.; Luesch, Hendrik; Koehnke, Jesko; O’Donoghue, Anthony J.; Gerwick, William H.","Tutuilamides A–C: Vinyl-Chloride-Containing Cyclodepsipeptides from Marine Cyanobacteria with Potent Elastase Inhibitory Properties","ACS Chemical Biology","","1554-8929","10.1021/acschembio.9b00992","https://doi.org/10.1021/acschembio.9b00992","Marine cyanobacteria (blue-green algae) have been shown to possess an enormous capacity to produce structurally diverse natural products that exhibit a broad spectrum of potent biological activities, including cytotoxic, antifungal, antiparasitic, antiviral, and antibacterial activities. Using mass-spectrometry-guided fractionation together with molecular networking, cyanobacterial field collections from American Samoa and Palmyra Atoll yielded three new cyclic peptides, tutuilamides A–C. Their structures were established by spectroscopic techniques including 1D and 2D NMR, HR-MS, and chemical derivatization. Structure elucidation was facilitated by employing advanced NMR techniques including nonuniform sampling in combination with the 1,1-ADEQUATE experiment. These cyclic peptides are characterized by the presence of several unusual residues including 3-amino-6-hydroxy-2-piperidone and 2-amino-2-butenoic acid, together with a novel vinyl chloride-containing residue. Tutuilamides A–C show potent elastase inhibitory activity together with moderate potency in H-460 lung cancer cell cytotoxicity assays. The binding mode to elastase was analyzed by X-ray crystallography revealing a reversible binding mode similar to the natural product lyngbyastatin 7. The presence of an additional hydrogen bond with the amino acid backbone of the flexible side chain of tutuilamide A, compared to lyngbyastatin 7, facilitates its stabilization in the elastase binding pocket and possibly explains its enhanced inhibitory potency.","2020-03-20","2022-08-12 20:07:33","2022-08-12 20:07:33","2022-08-03 18:45:13","751-757","","3","15","","ACS Chem. Biol.","Tutuilamides A–C","","","","","","","","","","","","ACS Publications","","","","/Users/camilavargas/Zotero/storage/N6D5STJC/Keller et al. - 2020 - Tutuilamides A–C: Vinyl-Chloride-Containing Cyclod.html; /Users/camilavargas/Zotero/storage/VPUK2EN6/Keller et al. - 2020 - Tutuilamides A–C: Vinyl-Chloride-Containing Cyclod.pdf","","padl211","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
