TITLE,PUB_STATUS,PUB_DATE,PARC_STATUS,PARC_NUMBER,LIB_STATUS,PUB_LOCATION,DATA_LINK,COMMENTS
The trophic ecology of reef-building corals: the influence of resource availability on coral nutrition at multiple scales,-,-,UNLISTED,0,INCOMPLETE,-,-,-
"A phylogenomic examination of Palmyra Atoll’s
corallimorpharian invader",PUBLISHED,07/11/2021,UNLISTED,-,INCOMPLETE,https://doi.org/10.1007/s00338-021-02143-5,,PDF need to be added to the files folder in the Drive
An evaluation of the drivers of movement and foraging behaviors of tropical parrotfishes across management regimes and spatiotemporal scales,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Bacterial coral pathogens of the genus Vibrio,-,-,UNLISTED,-,INCOMPLETE,-,,
Biological-physical interactions in Pacific coral reef ecosystems,-,-,UNLISTED,-,INCOMPLETE,-,-,
Biology and Ecology of the Recreational Bonefish Fishery at Palmyra Atoll National Wildlife Refuge with Comparisons to Other Pacific Islands,-,-,UNLISTED,-,INCOMPLETE,-,,
Coral reef resilience to climate change: insights from field measurements and models,-,-,UNLISTED,-,INCOMPLETE,-,,-
Ecological importance of large fishes,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Ecophysiology of coral reef primary producers: Response to natural and anthropogenic environmental change,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Effects of seabird derived subsidies on aquatic ecosystems,PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0008,-,-
"Encyclopedia of Modern Coral Reefs: Structure, Form and Process",PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1007/978-90-481-2639-2,-,-
Factors affecting coral recruitment and calcium carbonate accretion rates on a Central Pacific coral reef,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Field and modeling insights into carbon cycling in coastal marine ecosystems: understanding natural variability and preparing for the future,-,-,UNLISTED,-,INCOMPLETE,-,,
Global assessment of the status of coral reef herbivorous fishes: evidence from fishing effects,-,-,UNLISTED,-,INCOMPLETE,-,,
High frequency temperature variability reduces the risk of coral bleaching,-,-,UNLISTED,-,INCOMPLETE,https://doi.org/doi:10.1038/s41467-018-04074-2,,
Impacts of local and global stressors on benthic communities at Palmyra Atoll: investigating response to invasion and bleaching at multiple ecological scales,-,-,UNLISTED,-,INCOMPLETE,-,-,
"Invasion mechanisms of the corallimorph, Rhodactis howesii, at Palmyra Atoll",-,-,UNLISTED,-,INCOMPLETE,-,-,-
Invasive species removal and coral transplantation transform benthic community structure at a restoration site on Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Limitations to tree seedling recruitment at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,,
"Physical oceanography in coral reef environments: wave and mean flow dynamics at small and large scales, and resulting ecological implications",-,-,UNLISTED,-,INCOMPLETE,-,-,
"Prey release, trophic cascades, and phase shifts in tropical nearshore ecosystems",PUBLISHED,-,UNLISTED,-,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,Book
Quantifying life history demographics of the Scleractinian coral genus Pocillopora at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,
Resource availability drives large differences in the fine-scale spatial pattern of parrotfish herbivory on a coral reef,-,-,UNLISTED,-,INCOMPLETE,-,-,
The direct and indirect effects of predators on coral reef fish assemblages,-,-,UNLISTED,-,INCOMPLETE,-,-,-
"The ecology of sponges at Palmyra Atoll: variability, introduced species and their potential direct and indirect impacts",-,-,UNLISTED,-,INCOMPLETE,-,-,-
The food web for the sand flats at Palmyra Atoll,-,-,UNLISTED,-,INCOMPLETE,-,-,-
The life and death of perforate corals: micro-community structure within the skeleton,-,-,UNLISTED,-,INCOMPLETE,-,-,-
Tracking fish and fisheries for conservation and management,-,-,UNLISTED,-,INCOMPLETE,-,,-
Proximity to encroaching coconut palm limits native forest water use and persistence on a Pacific atoll,PUBLISHED,01/29/2015,UNLISTED,-,INCOMPLETE, DOI: 10.1002/eco.1601,,not added to Zotero
El Niño-Southern Oscillation and tropical Pacific climate during the last millennium,PUBLISHED,5/30/2003,ASSIGNED,PARC-0001,UPLOADED,https://doi.org/10.1038/nature01779,-,-
U/Th-dating living and young fossil corals from the central tropical Pacific,PUBLISHED,3/13/2003,ASSIGNED,PARC-0002,UPLOADED,https:/doi.org/10.1016/S0012-821X(03)00138-9,-,Some supporting information available
"Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality",PUBLISHED,4/26/2006,ASSIGNED,PARC-0003,UPLOADED,https://doi.org/10.1111/j.1461-0248.2006.00937.x,-,-
A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific?,PUBLISHED,3/31/2007,ASSIGNED,PARC-0004,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2007.00143.x,-,"No clear link to data provided, some raw data held in unpublished files, others in DNA surveillance database"
High apex predator biomass on remote Pacific islands,PUBLISHED,10/10/2006,ASSIGNED,PARC-0005,UPLOADED,https://doi.org/10.1007/s00338-006-0158-x,-,-
Patterns of sponge biodiversity and abundance across different biogeographic regions,PUBLISHED,9/16/2008,ASSIGNED,PARC-0006,UPLOADED,https://doi.org/10.1007/s00227-008-1036-6,-,-
"The recent carbonate sediments of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean",DISSERTATION,-,ASSIGNED,PARC-0007,UPLOADED,http://hdl.handle.net/10063/1001,-,Information sheet to PARC
"Differences in fish-assemblage structure between fished and unfished atolls in the northern Line Islands, central Pacific",PUBLISHED,8/18/2008,ASSIGNED,PARC-0008,UPLOADED,https://doi.org/10.3354/meps07501,-,Previous title: Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands.
Microbial ecology of four coral atolls in the northern Line Island,PUBLISHED,2/27/2008,ASSIGNED,PARC-0009,UPLOADED,https://doi.org/10.1371/journal.pone.0001584,http://www.theseed. org/DinsdaleSupplementalMaterial/,"""All metagenomic data is held at http://scums.sdsu.edu.au, an open access website. Data are being released through SEED platform (http://www.theseed.org) and GenBank short read database. SEED accession numbers: Kingman microbial-4440037.3, Palmyra microbial-4440039.3, Tabuaeran microbial–4440279.3, Kiritimati microbial–4440041.3, Kingman viral-4440036.3, Palmyra viral-4440040.3, Tabuaeran viral4440280.3 and Kiritimati viral -4440038.3. Genbank accession numbers: Kingman microbial-28343, Palmyra microbial-28363, Tabuaeran microbial–28367, Kiritimati microbial–28347, Kingman viral-28345, Palmyra viral-28365, Tabuaeran viral-28369 and Kiritimati viral-28349. Direct access to data from these metagenomes is available at http://www.theseed.org/DinsdaleSupplementalMaterial/."""
"Aspects of the biology, ecology, and recreational fishery for bonefish at Palmyra Atoll National Wildlife Refuge, with comparisons to other Pacific Islands",-,-,ASSIGNED,PARC-0010,INCOMPLETE,-,,
"Shifting baselines, local impacts, and global change on coral reefs",PUBLISHED,2/26/2008,ASSIGNED,PARC-0011,UPLOADED,https://dx.plos.org/10.1371/journal.pbio.0060054,-,Library info not verified
Reef fishes have higher parasite richness at unfished Palmyra Atoll compared to fished Kiritimati Island,PUBLISHED,10/10/2008,ASSIGNED,PARC-0012,UPLOADED,https://doi.org/10.1007/s10393-008-0196-7,-,Library info not verified
"US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: Status, Threats and Significance",PUBLISHED,-,ASSIGNED,PARC-0013,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_16,-,Book chapter
"US Coral Reefs in the Line and Phoenix Islands, Central Pacific Ocean: History, Geology, Oceanography, and Biology",PUBLISHED,-,ASSIGNED,PARC-0014,UPLOADED,http://link.springer.com/10.1007/978-1-4020-6847-8_15,-,Library info not verified
"Movement patterns, foraging ecology and digestive physiology of blacktip reef sharks, Carcharhinus melanopterus, at Palmyra Atoll: a predator dominated ecosystem",DISSERTATION,12/1/2008,ASSIGNED,PARC-0015,UPLOADED,https://nsgl.gso.uri.edu/hawau/hawauy08003.pdf,-,-
Baselines and degradation of coral reefs in the northern Line Islands,PUBLISHED,1/9/2008,ASSIGNED,PARC-0016,UPLOADED,https://dx.plos.org/10.1371/journal.pone.0001548,https://dx.plos.org/10.1371/journal.pone.0001548,Supplemental data links given on web page and in pdf
"Coral disease at Palmyra Atoll, a remote reef system in the Central Pacific",PUBLISHED,10/3/2007,ASSIGNED,PARC-0017,UPLOADED,https://link.springer.com/article/10.1007%2Fs00338-007-0314-y,-,-
Characterization of the coral communities at Palmyra Atoll in the remote Central Pacific Ocean,PUBLISHED,6/6/2008,ASSIGNED,PARC-0018,UPLOADED,https://repository.si.edu/handle/10088/6797,-,-
