title,pub_status,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,Abstract,Keywords,importance,comments,PDF_in_Drive
"Encyclopedia Of Modern Coral Reefs: Structure, Form And Process",PUBLISHED,encyclopedia,UNLISTED,-,UPLOADED,https://doi.org/10.1007/978-90-481-2639-2,-,"Maragos J.E., Williams G.J. (2011) Pacific Coral Reefs: An Introduction. In: Hopley D. (eds) Encyclopedia of Modern Coral Reefs. Encyclopedia of Earth Sciences Series. Springer, Dordrecht. https://doi.org/10.1007/978-90-481-2639-2_122",2011,"Maragos J.E., Williams G.J",Encyclopedia of Modern Coral Reefs,https://doi.org/10.1007/978-90-481-2639-2,"Coral reefs are the largest landforms built by plants and animals. Their study therefore incorporates a wide range of disciplines. This encyclopedia approaches coral reefs from an earth science perspective, concentrating especially on modern reefs. Currently coral reefs are under high stress, most prominently from climate change with changes to water temperature, sea level and ocean acidification particularly damaging. Modern reefs have evolved through the massive environmental changes of the Quaternary with long periods of exposure during glacially lowered sea level periods and short periods of interglacial growth. The entries in this encyclopedia condense the large amount of work carried out since Charles Darwin first attempted to understand reef evolution. Leading authorities from many countries have contributed to the entries covering areas of geology, geography and ecology, providing comprehensive access to the most up-to-date research on the structure, form and processes operating on Quaternary coral reefs.  ",NA,mentioned,-,yes
"Prey Release, Trophic Cascades, And Phase Shifts In Tropical Nearshore Ecosystems",PUBLISHED,book,UNLISTED,-,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,NA,2010,"Sandin, Stuart A; Walsh, Sheila M; Jackson, Jeremy BC","Trophic Cascades: predators, prey, and the changing dynamics of nature",NA,,,check if relevant,Book,
U/Th-Dating Living And Young Fossil Corals From The Central Tropical Pacific,PUBLISHED,paper,ASSIGNED,PARC-0002,UPLOADED,https:/doi.org/10.1016/S0012-821X(03)00138-9,-,"Cobb, K.M., C.D. Charles, H. Cheng, M. Kastnew and R.L. Edwards 2003. U/Th-dating living and young fossil corals from the central tropical Pacific. Earth and Planetary Science Letters 210(1-2): 91-103. {PARC-0002}",2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Kastner, Miriam; Edwards, R.Lawrence",Earth and Planetary Science Letters,10.1016/S0012-821X(03)00138-9,"This study evaluates the accuracy of U/Th dates for young (< a few thousand years old) reef corals, both living and fossil, and explores strategies for refining those dates. The high precision of the U/Th method (±1–2%) for dating young corals is well-established. Earlier studies have demonstrated the method’s accuracy for select samples of known age. However, these studies have focused on typical samples that have extremely low 232Th concentrations (tens of pg/g). Here we study the dating systematics of young corals that have low but significant amounts of 232Th (up to 1000 pg/g), indicating the presence of small fractions of non-radiogenic 230Th (i.e. 230Th not generated by in situ U decay). We report U/Th ages for living and subaerially exposed fossil corals from Palmyra Island, located in the central tropical Pacific, that range from 50 to 700 yr old. The Palmyra corals contain varying amounts of 232Th and small fractions of associated non-radiogenic 230Th. Uncertainty associated with the correction for non-radiogenic 230Th can lead to significant errors in U/Th dates. We have characterized non-radiogenic 230Th/232Th values, (230Th/232Th)nr, as a means of minimizing this source of error. We calculate (230Th/232Th)nr values ranging from 0 to 2×10−5 for the Palmyra living corals by comparing measured U/Th dates to absolute dates for the living coral, whose chronology is well-established. For the fossil corals, we employ three different approaches to arrive at (230Th/232Th)nr estimates. First, we compare measured U/Th dates to absolute dates in samples from a young fossil coral that overlaps the living coral. Next, we use the firm relative dating constraints imposed by five overlapping fossil corals from the 14th–15th centuries to calculate (230Th/232Th)nr values. Finally, we attempt to anchor the 14th–15th century floating coral chronology to an absolute chronology by correlating the climate signals in the coral records to those in absolutely dated climate proxy records. All lines of evidence point to a range of (230Th/232Th)nr for fossil corals that overlaps the range determined for the living coral, suggesting that most of the thorium is primary or is added while the coral is still alive. Our work also demonstrates the utility of multiple (230Th/232Th)nr estimates. Most importantly, we demonstrate a method by which accurate (±5 yr) U/Th-based chronologies can be obtained for young fossil corals with significant 232Th concentrations.",NA,Plamyra samples,Some supporting information available,yes
"Indirect Effects Of Algae On Coral: Algae-Mediated, Microbe-Induced Coral Mortality",PUBLISHED,paper,ASSIGNED,PARC-0003,UPLOADED,https://doi.org/10.1111/j.1461-0248.2006.00937.x,-,"Smith, J.E., M. Shaw, R.A. Edwards, D. Obura, O. Pantos, E. Sala, S.A. Sandin, S. Smriga, M. Hatay and F.L. Rohwer 2006. Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality. Ecology Letters 9:835-845. {PARC-0003}",2006,"Smith, Jennifer E.; Shaw, Morrigan; Edwards, Rob A.; Obura, David; Pantos, Olga; Sala, Enric; Sandin, Stuart A.; Smriga, Steven; Hatay, Mark; Rohwer, Forest L.",Ecology Letters,10.1111/j.1461-0248.2006.00937.x,"Declines in coral cover are generally associated with increases in the abundance of fleshy algae. In many cases, it remains unclear whether algae are responsible, directly or indirectly, for coral death or whether they simply settle on dead coral surfaces. Here, we show that algae can indirectly cause coral mortality by enhancing microbial activity via the release of dissolved compounds. When coral and algae were placed in chambers together but separated by a 0.02 μm filter, corals suffered 100% mortality. With the addition of the broad-spectrum antibiotic ampicillin, mortality was completely prevented. Physiological measurements showed complementary patterns of increasing coral stress with proximity to algae. Our results suggest that as human impacts increase and algae become more abundant on reefs a positive feedback loop may be created whereby compounds released by algae enhance microbial activity on live coral surfaces causing mortality of corals and further algal growth.","Algae, bacteria, coral disease, coral reef, dissolved organic carbon, macroalgae, microbes, phase-shifts, reef degradation",Plamyra samples,-,yes
A Divergent Mtdna Lineage Among Mesoplodon Beaked Whales: Molecular Evidence For A New Species In The Tropical Pacific?,PUBLISHED,paper,ASSIGNED,PARC-0004,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2007.00143.x,-,"Dalebout, M.L., C.S. Baker, D. Steel, K.M. Robertson, S.J. Chivers, W.F. Perrin, J.G. Mead, R.V. Grace and T.D. Schofield 2007. A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific? Marine Mammal Science 23: 954-966. {PARC-0004}",2007,"Dalebout, Merel L.; Scott Baker, C.; Steel, Debbie; Robertson, Kelly M.; Chivers, Susan J.; Perrin, William F.; Mead, James G.; Grace, Roger V.; David Schofield, T.",Marine Mammal Science,10.1111/j.1748-7692.2007.00143.x,NA,NA,Plamyra samples,"No clear link to data provided, some raw data held in unpublished files, others in DNA surveillance database",yes
High Apex Predator Biomass On Remote Pacific Islands,PUBLISHED,paper,ASSIGNED,PARC-0005,UPLOADED,https://doi.org/10.1007/s00338-006-0158-x,-,"Stevenson C , L.S. Katz, F. Micheli, B. Block, K.W. Heiman, C. Perle, K. Weng, R. Dunbar and J. Witting 2007. High apex predator biomass on remote Pacific islands. Coral Reefs 26:47-51 {PARC-0005}",2007,"Stevenson, Charlotte; Katz, Laure S.; Micheli, Fiorenza; Block, Barbara; Heiman, Kimberly W.; Perle, Chris; Weng, Kevin; Dunbar, Robert; Witting, Jan",Coral Reefs,10.1007/s00338-006-0158-x,"On coral reefs in Palmyra—a central Pacific atoll with limited fishing pressure—total fish biomass was 428 and 299% greater than on reefs in nearby Christmas and Fanning Islands. Large apex predators, groupers, sharks, snappers, and jacks larger than 50 cm in length, accounted for 56% of total fish biomass in Palmyra on average, but only 7 and 3% on Christmas and Fanning. These biomass proportions are remarkably similar to those previously reported for the remote and uninhabited Northwest Hawaiian Islands (NWHI) and densely populated Main Hawaiian Islands (MHI), although Palmyra’s reefs are dominated in biomass by sharks (44% of the total), whereas the NWHI by jacks (39%). Herbivorous fish biomass was also greater on Palmyra than on Christmas and Fanning (343 and 207%, respectively). These results and previous findings indicate that remote, uninhabited islands support high levels of consumers, and highlight the importance of healthy coral reef ecosystems as reference points for assessment of human impacts and establishment of restoration goals.","Coral reefs, Food webs, Fishing impacts, Top predators, Palmyra, Line Islands",reference point,-,yes
Patterns Of Sponge Biodiversity And Abundance Across Different Biogeographic Regions,PUBLISHED,paper,ASSIGNED,PARC-0006,UPLOADED,https://doi.org/10.1007/s00227-008-1036-6,-,"Bell, J.J. and J.L. Carballo 2008. Patterns of sponge biodiversity and abundance across different biogeographic regions. Marine Biology. 155:563-570. {PARC-0006}",2008,"Bell, James J.; Carballo, Jos√© Luis",Marine Biology,10.1007/s00227-008-1036-6,"Few studies have compared the underlying nature or structure of marine communities and assemblages across broad spatial scales, despite the importance of such comparisons in understanding global scale responses to environmental change and biodiversity conservation. The aim of this study was to examine the consistency of relationships between sponge abundance and richness on the undersides of boulders (to control for multiple confounding factors) in relation to space availability (boulder size) in three widely separated biogeographic regions. Sponges followed typical species-area (SA) relationships irrespective of site or ocean and we consistently found no decrease in sponge richness at larger boulder sizes. We also found reliable underlying density–area (DA) relationships, with larger boulders supporting more sponge patches at all sites. Although the general SA and DA relationships were similar between oceans and sites, the exact nature of these relationships in terms of the actual species present per unit area, total number of species present or density differed between sites. There were no consistent differences between SA and DA relationships at each locality, suggesting that although disturbance (particularly wave action) regimes may play an important role in controlling sponge biodiversity and abundance, its effects are manifested differently at local-scales. Even though boulders have received a considerable amount of research effort over the past three decades, this is the first study to examine the consistency of DA and SA relationships between ocean basins, finding similar relationships.",NA,one of the study sites,-,yes
"The Recent Carbonate Sediments Of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean",DISSERTATION,master thesis,ASSIGNED,PARC-0007,UPLOADED,http://hdl.handle.net/10063/1001,-,"Clark, O. 2008. The recent carbonate sediments of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean. MSc Dissertation, Victoria University of Wellington, New Zealand. {PARC-0007}",2008,"Clark, Oscar",Thesis,NA,"Palmyra Atoll is an isolated carbonate reef system located approximately 1600 km south of Hawaii in the northern Line Islands, central Pacific Ocean. Sediment samples from the lagoons and tidal zones were analyzed for grainsize and composition, and the results used to compile detailed maps and interpret the environments and lithofacies present. A distinct grainsize distribution was observed forming concentric bands ranging from coarse gravel rubble on the outer reef through to finer material in the interior of the atoll in the deep lagoons, where peloidal muds prevail. Five lithologic facies have been identified and typical sediments are poorly sorted and near-symmetrical in their grainsize distribution. On average, sediments are medium sand. A distinct chlorozoan assemblage was observed with coral and calcareous red algal fragments forming half of the sediment, with varying amounts of molluscs, Halimeda and foraminifera being the lesser major constituents. Lagoonal and tidal sediments showed little variation in composition between locations and lacked clear compositional zonation, characteristic of other larger atolls of the Pacific.
Palmyra Atoll is unique in that it has had little human intervention for the last sixty years and as a result uninhibited natural processes are occurring. It is also unique in that it displays relatively deep for its size (<55 m), steep-sided compartmentalized lagoons that have abundant fine material (upward of 70% silt or finer), a feature not commonly observed at other Pacific atolls. This fine material has been identified as a peloidal mud and its mode and rate of deposition may be partly controlled by the abundant zooplankton in the lagoons. Recent sediments of Palmyra Atoll are almost entirely carbonate, originating from reef organisms inhabiting the atoll. The only other material is small amounts of siliceous sponge skeletons.",NA,main study site,Information sheet to PARC,yes
"Differences In Fish-Assemblage Structure Between Fished And Unfished Atolls In The Northern Line Islands, Central Pacific",PUBLISHED,paper,ASSIGNED,PARC-0008,UPLOADED,https://doi.org/10.3354/meps07501,-,"DeMartini, E.E., A.M. Friedlander, S.A. Sandin and E. Sala 2008. Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands. Marine Ecology Progress Series 365: 199-215. {PARC-0008}",2008,"DeMartini, Edward E; Friedlander, Alan M; Sandin, Stuart A; Sala, Enric",Marine Ecology Progress Series,10.3354/meps07501,"We describe the abundance, biomass, size composition, and trophic structure of fish assemblages of shallow (10 m depth) fore reef habit ats at 2 US Pacific atolls (Kingman, Palmyra) and 2 Kiribati-owned atolls  (Tabuaeran, Kiritimati) in the northern Line Islands. Our characterization spans several coincident gradients (in human habitation and exploitation, latitude, and nutrient upwelling) from uninhabited, presently unfished, and oligotrophic Kingman to relatively densely
populated, fished, and equatorially upwelled Kiritimati. Major findings are most consistent with direct effects of extraction on large-bodied predators and indirect effects on lower-level assemblage structure. Fish assemblages at Palmyra and especially Kingman atolls were characterized by high total standing biomass, large average body sizes, a preponderance of apex predators and other piscivorous fishes in an inverted biomass pyramid, few and small planktivorous fishes, and herbivores dominated by non-territorial species. Median body sizes at color change from initial to terminal phase (an index of sex change in parrotfishes) were also small for 4 species of parrotfish at Kingman and Palmyra. Fish assemblages at Tabuaeran and especially Kiritimati atolls had starkly contrasting characteristics: piscivorous and other fisheries-targeted fishes were depauperate, lower-trophic levels dominated fish biomass, planktivorous fishes were larger-bodied and more numerous, territorial herbivores were better represented, and size at maturation in parrotfishes was proportionately larger. Our results show the effects that even modest fishing effort can have on assemblage structure and indicate the importance of reefs like Kingman as increasingly rare relicts of natural coral reefs, providing insights into the natural structure and function of these ecosystems."," Apex predation, Fisheries extraction, Prey body size distribution, Inverted biomass pyramid, Latitudinal gradient, Upwelling, Body size at sex change, Parrotfishes",reference point,Previous title: Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands.,yes
"Biology and Ecology of the Recreational Fishery For Bonefish At Palmyra Atoll National Wildlife Refuge, With Comparisons To Other Pacific Islands",-,book chapter,ASSIGNED,PARC-0010,UPLOADED,https://www.researchgate.net/publication/285838221_Biology_and_Ecology_of_the_Recreational_Bonefish_Fishery_at_Palmyra_Atoll_National_Wildlife_Refuge_with_Comparisons_to_Other_Pacific_Islands,-,"Friedlander, A., J.E. Caselle, J. Beets, C. Lowe, B. Bowen, T. Ogawa, K. Kelley, T. Calitri, M. Lange and B. Anderson 2008. Aspects of the biology, ecology, and recreational fishery for bonefish at Palmyra Atoll National Wildlife Refuge, with comparisons to other Pacific Islands. In: J. Ault (Ed.) Biology and Management of the World Tarpon and Bonefish Fisheries. CRC Press LLC. Boca Raton, Florida. {PARC-0010}",2008,"Friedlander, A; Caselle, J; Beets, J; Lowe, C; Bowen, B; Ogawa, T; Kelly, K; Calitri, T; Lange, M; Anderson, B",Biology and Management of the World Tarpon and Bonefish Fisheries,NA,NA,NA,main study site,NA,no
