"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V7PDGVP6","bookSection","2007","Friedlander, A; Caselle, J; Beets, J; Lowe, C; Bowen, B; Ogawa, T; Kelly, K; Calitri, T; Lange, M; Anderson, B","Aspects of the biology, ecology, and recreational fishery for bonefish at Palmyra Atoll National Wildlife Refuge, with comparisons to other Pacific Islands","Biology and management of the world’s tarpon and bonefish fisheries., Boca Raton, Florida, USA","","","","","","2007","2021-09-23 22:35:32","2021-09-23 22:35:32","","28-56","","","","","","","","","","","CRC Press","","","","","","","","","","","","","","","Ault, Jerald S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96IP28TS","journalArticle","2008","DeMartini, Edward E; Friedlander, Alan M; Sandin, Stuart A; Sala, Enric","Differences in fish-assemblage structure between fished and unfished atolls in the northern Line Islands, central Pacific","Marine Ecology Progress Series","","0171-8630","10.3354/meps07501","http://www.jstor.org/stable/24872844","We describe the abundance, biomass, size composition, and trophic structure of fish assemblages of shallow (10 m depth) fore reef habitats at 2 US Pacific atolls (Kingman, Palmyra) and 2 Kiribati-owned atolls (Tabuaeran, Kiritimati) in the northern Line Islands. Our characterization spans several coincident gradients (in human habitation and exploitation, latitude, and nutrient upwelling) from uninhabited, presently unfished, and oligotrophic Kingman to relatively densely populated, fished, and equatorially upwelled Kiritimati. Major findings are most consistent with direct effects of extraction on large-bodied predators and indirect effects on lower-level assemblage structure. Fish assemblages at Palmyra and especially Kingman atolls were characterized by high total standing biomass, large average body sizes, a preponderance of apex predators and other piscivorous fishes in an inverted biomass pyramid, few and small planktivorous fishes, and herbivores dominated by non-territorial species. Median body sizes at color change from initial to terminal phase (an index of sex change in parrotfishes) were also small for 4 species of parrotfish at Kingman and Palmyra. Fish assemblages at Tabuaeran and especially Kiritimati atolls had starkly contrasting characteristics: piscivorous and other fisheries-targeted fishes were depauperate, lower-trophic levels dominated fish biomass, planktivorous fishes were targer-bodied and more numerous, territorial herbivores were better represented, and size at maturation in parrotfishes was proportionately larger. Our results show the effects that even modest fishing effort can have on assemblage structure and indicate the importance of reefs like Kingman as increasingly rare relicts of natural coral reefs, providing insights into the natural structure and function of these ecosystems.","2008","2021-09-23 22:35:32","2021-09-23 22:35:32","","199-215","","","365","","Mar Ecol Prog Ser","","","","","","","","English","","","","WOS:000259379600018","","","","","","","apex predation,; biomass,; body size at sex change,; body-size,; communities,; competition; coral-reef-fish,; density,; fisheries extraction,; great-barrier-reef,; growth,; inverted biomass pyramid,; latitudinal gradient,; mortality,; parrotfishes,; predator,; prey body size distribution,; upwelling,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEHN6UR3","journalArticle","2008","Lafferty, Kevin D; Shaw, Jenny C; Kuris, Armand M","Reef fishes have higher parasite richness at unfished Palmyra Atoll compared to fished Kiritimati Island","EcoHealth","","1612-9202","10.1007/s10393-008-0196-7","https://www.ncbi.nlm.nih.gov/pubmed/18846315","We compared parasite communities at two coral atolls in the Line Islands chain of the central Pacific (Kiritimati Island and Palmyra Atoll). Palmyra Atoll is relatively pristine while Kiritimati Island is heavily fished. At each island, we sampled five fish species for helminth and arthropod endoparasites: Chromis margaritifer, Plectroglyphidodon dickii, Paracirrhites arcatus, Acanthurus nigricans, and Lutjanus bohar. The surveys found monogeneans, digeneans, cestodes, nematodes, acanthocephalans, and copepods. Parasite richness was higher at Palmyra compared to Kiritimati for all five fish species. Fishes from Palmyra also tended to have more parasites species per host, higher parasite prevalence, and higher parasite abundance than did fishes from Kiritimati. The lower parasitism at Kiritimati may result from a simplified food web due to over fishing. Low biodiversity could impair parasite transmission by reducing the availability of hosts required by parasites with complex life cycles. Most notably, the lower abundances of larval shark tapeworms at Kiritimati presumably reflect the fact that fishing has greatly depleted sharks there in comparison to Palmyra.","2008-09","2021-09-23 22:35:32","2021-09-23 22:35:32","","338-345","","3","5","","","","","","","","","","","","","","18846315","","","Number: 3","","","","Animals,; Arthropods,; Ecosystem,; Fish Diseases/epidemiology/parasitology,; Fishes/parasitology,; Helminths/isolation & purification,; Pacific Islands,; Parasitic Diseases, Animal/epidemiology/parasitology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GA8KY8C2","thesis","2008","Papastamatiou, Yannis P","Movement Patterns, Foraging Ecology and Digestive Physiology of Blacktip Reef Sharks, Carcharhinus Melanopterus, at Palmyra Atoll: A Predator Dominated Ecosystem","","","","","https://nsgl.gso.uri.edu/hawau/hawauy08003.pdf","","2008","2021-09-23 22:35:32","2021-09-23 22:35:32","","","","","","","","","","","","","University of Hawaii at Manoa","","","","","","","","","Volume: PhD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGDE5RC5","bookSection","2009","Charles, Christopher; Sandin, Stuart","LINE ISLANDS","Encyclopedia of Islands","978-0-520-25649-1","","","http://www.jstor.org/stable/10.1525/j.ctt1pn90r.131","<p>Oceanographers are often given to building transects, where contrasting properties can be observed within a relatively narrow geographic area. Such is the opportunity afforded by the Line Islands in the central tropical Pacific, an island chain that stretches from Johnston atoll in the north to the Tuamotu Islands in the south. The very name of the chain invites this transect approach, and, although the basic connotation of &#x201c;The Line Islands&#x201d; does not do justice to the complexity of its geological origin, the appellation does quite aptly describe the gradients in geographic properties manifested on the various islands.</p><p>The atolls of</p>","2009","2021-09-23 22:35:32","2021-09-23 22:35:32","","553-558","","","","","","","","","","","University of California Press","","","","","","","","","Series Editors: _:n32","","","","","","Clague, David A.","Gillespie, Rosemary G.","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMKCWSR6","journalArticle","2009","Collen, JD; Gardner, JPA; Garton, DW","Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Refuge","Ocean & Coastal Management","","0964-5691","10.1016/j.ocecoaman.2009.10.007","https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007","The recognition of littoral sediment cells has proven valuable to coastal zone management in many areas of the world because it emphasises that sediment transport and deposition relate to physical processes rather than to administrative boundaries and that sedimentary units are self-contained. To date, cells identified for shoreline management planning are often extensive, extending for tens to hundreds of km. We suggest that the concept is also applicable to the management of atoll coastlines which, although spatially very small overall, consist of isolated segments with efficient intervening sediment sinks. As an example, Palmyra Atoll, a protected wildlife refuge in the northern Line Islands, is undergoing natural major changes resulting from sediment-related processes. Defining sediment cells as integral parts of management units here will aid decision-making necessary for the protection of specific areas, potentially giving savings in research effort and remedial costs and minimising disruption to other sensitive areas of the reserve. Similar benefits would apply to the management of the coastlines of other atolls. (C) 2009 Elsevier Ltd. All rights reserved.","2009-12","2021-09-23 22:35:32","2021-09-23 22:35:32","","628-635","","12","52","","Ocean Coast Manage","","","","","","","","English","","","","WOS:000273547700004","","","Number: 12","","","","coastal,; coral-reefs,; evolution; management,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XKQQISE","thesis","2009","Madin, Elizabeth McHenry Potter","Cascading behavioral effects of fishing on coral reefs","","","","","https://search.proquest.com/docview/304855131?accountid=14522","","2009","2021-09-23 22:35:32","2021-09-23 22:35:32","","","","","","","","","","","","","University of California, Santa Barbara","","","","","","","","","ISBN: 1109483309 Volume: PhD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGVAJ7VM","journalArticle","2009","Papastamatiou, Yannis P; Lowe, Christopher G; Caselle, Jennifer E; Friedlander, Alan M","Scale‐dependent effects of habitat on movements and path structure of reef sharks at a predator‐dominated atoll","Ecology","","1939-9170","10.1890/08-0491.1","https://www.ncbi.nlm.nih.gov/pubmed/19449694","The effects of habitat on the ecology, movements, and foraging strategies of marine apex predators are largely unknown. We used acoustic telemetry to quantify the movement patterns of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll National Wildlife Refuge, in the Pacific Ocean. Sharks had relatively small home ranges over a timescale of days to weeks (0.55 +/- 0.24 km2) and showed strong site fidelity to sand-flat ledges within the west lagoon over a three-year period. Sharks showed evidence of diel and tidal movements, and they utilized certain regions of the west lagoon disproportionately. There were ontogenetic shifts in habitat selection, with smaller sharks showing greater selection for sand-flat habitats, and pups (total length 35-61 cm) utilizing very shallow waters on sand-flats, potentially as nursery areas. Adult sharks selected ledge habitats and had lower rates of movement when over sand-flats and ledges than they did over lagoon waters. Fractal analysis of movements showed that over periods of days, sharks used patches that were 3-17% of the scale of their home range. Repeat horizontal movements along ledge habitats consisted of relatively straight movements, which theoretical models consider the most efficient search strategy when forage patches may be spatially and temporally unpredictable. Although sharks moved using a direct walk while in patches, they appeared to move randomly between patches. Microhabitat quantity and quality had large effects on blacktip reef shark movements, which have consequences for the life-history characteristics of the species and potentially the spatial distribution of behaviorally mediated effects on lower trophic levels throughout the Palmyra ecosystem.","2009-04","2021-09-23 22:35:32","2021-09-23 22:35:32","","996-1008","","4","90","","","","","","","","","","","","","","19449694","","","Number: 4","","","","Animals,; Ecosystem,; Behavior,; Motor Activity,; Sharks/physiology,; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5PN26TY","journalArticle","2010","Madin, Elizabeth MP; Gaines, Steven D; Warner, Robert R","Field evidence for pervasive indirect effects of fishing on prey foraging behavior","Ecology","","1939-9170","10.1890/09-2174.1","https://www.ncbi.nlm.nih.gov/pubmed/21302828","The indirect, ecosystem-level consequences of ocean fishing, and particularly the mechanisms driving them, are poorly understood. Most studies focus on density-mediated trophic cascades, where removal of predators alternately causes increases and decreases in abundances of lower trophic levels. However, cascades could also be driven by where and when prey forage rather than solely by prey abundance. Over a large gradient of fishing intensity in the central Pacific's remote northern Line Islands, including a nearly pristine, baseline coral reef system, we found that changes in predation risk elicit strong behavioral responses in foraging patterns across multiple prey fish species. These responses were observed as a function of both short-term (""acute"") risk and longer-term (""chronic"") risk, as well as when prey were exposed to model predators to isolate the effect of perceived predation risk from other potentially confounding factors. Compared to numerical prey responses, antipredator behavioral responses such as these can potentially have far greater net impacts (by occurring over entire assemblages) and operate over shorter temporal scales (with potentially instantaneous response times) in transmitting top-down effects. A rich body of literature exists on both the direct effects of human removal of predators from ecosystems and predators' effects on prey behavior. Our results draw together these lines of research and provide the first empirical evidence that large-scale human removal of predators from a natural ecosystem indirectly alters prey behavior. These behavioral changes may, in turn, drive previously unsuspected alterations in reef food webs.","2010-12","2021-09-23 22:35:32","2021-09-23 22:35:32","","3563-3571","","12","91","","","","","","","","","","","","","","21302828","","","Number: 12","","","","Animals,; Ecosystem,; Feeding Behavior/physiology,; Fisheries,; Fishes/physiology,; Oceans and Seas,; Population Density","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFQ875SY","bookSection","2010","Sandin, Stuart A; Walsh, Sheila M; Jackson, Jeremy BC","Prey release, trophic cascades, and phase shifts in tropical nearshore ecosystems","Trophic Cascades: predators, prey, and the changing dynamics of nature","","","","https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false","","2010","2021-09-23 22:35:32","2021-09-23 22:35:32","","71-90","","","","","","","","","","","Island Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
