transfered_to_zotero_online,padl_n,title,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,abstract,keywords,notes,address_mgmt_action_which_one
,,Post-settlement demographics of reef building corals suggest prolonged recruitment bottlenecks,paper,NO PARC,-,,http://dx.doi.org/10.1007/s00442-022-05196-7,,,NA,"Sarribouette, L; Pedersen, NE; Edwards, CB; Sandin, SA",OECOLOGIA,10.1007/s00442-022-05196-7,"For many organisms, early life stages experience significantly higher rates of mortality relative to adults. However, tracking early life stage individuals through time in natural settings is difficult, limiting our understanding of the duration of these 'mortality bottlenecks', and the time required for survivorship to match that of adults. Here, we track a cohort of juvenile corals (1-5 cm maximum diameter) from 12 taxa at a remote atoll in the Central Pacific from 2013 to 2017 and describe patterns of annual survivorship. Of the 537 juveniles initially detected, 219 (41%) were alive 4 years later, 163 (30%) died via complete loss of live tissue from the skeleton, and the remaining 155 (29%) died via dislodgement. The differing mortality patterns suggest that habitat characteristics, as well as species-specific features, may influence early life stage survival. Across most taxa, survival fit a logistic model, reaching > 90% annual survival within 4 years. These data suggest that mortality bottlenecks characteristic of 'recruitment' extend up to 5 years after individuals can be visually detected. Ultimately, replenishment of adult coral populations via sexual reproduction is needed to maintain both coral cover and genetic diversity. This study provides key insights into the dynamics and time scales that characterize these critical early life stages.",,,
,,Geographically distinct blue whale song variants in the Northeast Pacific,paper,NO PARC,-,,http://dx.doi.org/10.3354/esr01145,,,2021,"Carbaugh-Rutland, A; Rasmussen, JH; Sterba-Boatwright, B; Sirovic, A",ENDANGERED SPECIES RESEARCH,10.3354/esr01145,"The Northeast Pacific (NEP) population of blue whales Balaenoptera musculus musculus is currently managed as a single stock. We investigated the fine-scale frequency characteristics of 1 NEP blue whale song unit, the B call. We analyzed B calls from passive acoustic data collected between 2010 and 2013 at 2 low-latitude sites, Palmyra Atoll and the Hawaiian Islands, and 3 higher-latitude sites, off southern California, off Washington state and in the Gulf of Alaska. Frequency measurements were extracted along the contour of the third harmonic from each call, and data from each region were compared. Calls from the Gulf of Alaska and Hawai'i presented a downshift in frequency, beginning just past the midway point of the contour, which was not present in calls recorded from southern California or Palmyra Atoll. Calls from Washington displayed intermediate characteristics between those from the other 2 high-latitude sites. Cluster analysis resulted in consistent grouping of call contours from Washington and southern California, in what we termed the NEP B1 variant, while contours from Hawai'i and the Gulf of Alaska were grouped together, as a NEP B2 variant. Frequency differences were also observed among the variants; the Gulf of Alaska displayed the highest frequency on average, followed by Washington, then southern California. Consistent with other studies, a yearly decline in the frequency of B calls was also observed. This discovery of at least 2 geographically distinct variants provides the first evidence of vocally distinct subpopulations within the NEP, indicating the possibility of a need for finer-scale population segmentation.",,,
,,"A Convolutional Neural Network for Automated Detection of Humpback Whale Song in a Diverse, Long-Term Passive Acoustic Dataset",paper,NO PARC,-,,http://dx.doi.org/10.3389/fmars.2021.607321,,,2021,"Allen, AN; Harvey, M; Harrell, L; Jansen, A; Merkens, KP; Wall, CC; Cattiau, J; Oleson, EM",FRONTIERS IN MARINE SCIENCE,10.3389/fmars.2021.607321,"Passive acoustic monitoring is a well-established tool for researching the occurrence, movements, and ecology of a wide variety of marine mammal species. Advances in hardware and data collection have exponentially increased the volumes of passive acoustic data collected, such that discoveries are now limited by the time required to analyze rather than collect the data. In order to address this limitation, we trained a deep convolutional neural network (CNN) to identify humpback whale song in over 187,000 h of acoustic data collected at 13 different monitoring sites in the North Pacific over a 14-year period. The model successfully detected 75 s audio segments containing humpback song with an average precision of 0.97 and average area under the receiver operating characteristic curve (AUC-ROC) of 0.992. The model output was used to analyze spatial and temporal patterns of humpback song, corroborating known seasonal patterns in the Hawaiian and Mariana Islands, including occurrence at remote monitoring sites beyond well-studied aggregations, as well as novel discovery of humpback whale song at Kingman Reef, at 5(circle) North latitude. This study demonstrates the ability of a CNN trained on a small dataset to generalize well to a highly variable signal type across a diverse range of recording and noise conditions. We demonstrate the utility of active learning approaches for creating high-quality models in specialized domains where annotations are rare. These results validate the feasibility of applying deep learning models to identify highly variable signals across broad spatial and temporal scales, enabling new discoveries through combining large datasets with cutting edge tools.",,,
,,"Assessment of Megadenus holothuricola Rosen, 1910 (Eulimidae), an endoparasite of Holothuria mexicana Ludwig, 1875 (Holothuriidae) in the southern Gulf of Mexico and the description a new species",paper,NO PARC,-,,http://dx.doi.org/10.3897/zookeys.1016.55071,,,2021,"Gonzalez-Vallejo, NE; Amador-Carrillo, S",ZOOKEYS,10.3897/zookeys.1016.55071,"As part of a study on holothurians from the southern Gulf of Mexico, some Holothuria mexicana Ludwig, 1875 were obtained for gut analysis. In two of them, a couple of eulimids were located inside the main tube of the respiratory tree. They were identified as Megadenus holothuricola Rosen, 1910, described from the Bahamas Islands, based on five specimens attached to the respiratory tree of H. mexicana. The original description was brief with few details, the type material is lost, and the species has not been found again. In this contribution, this species is confirmed for Campeche Bay, Mexico. The adult shell is globular to conical, transparent, thin, and fragile. Megadenus smithi sp. nov. from Palmyra Atoll, Central Pacific is described based on adult specimens. It differs from its congeneric species in its more robust shell, the pseudopallium does not cover the shell, and its short and contracted proboscis forms a thick disc. Further research on these eulimid parasites is now complicated in the southern Gulf of Mexico because of the holothurian population collapse due to over-exploitation of the fishery.",,,
,,"Looking where it's hard to see: a case study documenting rare Eucyclogobius newberryi presence in a California lagoon (vol 97, pg 572, 2020)",paper,NO PARC,-,,http://dx.doi.org/10.1111/jfb.14679,,,2021,"Dressler, TL; Lafferty, KD; Jerde, CL; Dudley, T",JOURNAL OF FISH BIOLOGY,10.1111/jfb.14679,"At Palmyra Atoll, the environmental DNA (eDNA) signal on tidal sand flats was associated with fish biomass density and captured 98%-100% of the expected species diversity there. Although eDNA spilled over across habitats, species associated with reef habitat contributed more eDNA to reef sites than to sand-flat sites, and species associated with sand-flat habitat contributed more eDNA to sand-flat sites than to reef sites. Tides did not disrupt the sand-flat habitat signal. At least 25 samples give a coverage >97.5% at this diverse, tropical, marine system.",,,
,,Energy depletion and opportunistic microbial colonisation in white syndrome lesions from corals across the Indo-Pacific,paper,NO PARC,-,,http://dx.doi.org/10.1038/s41598-020-76792-x,,,2020,"Smith, HA; Conlan, JA; Pollock, FJ; Wada, N; Shore, A; Hung, JYH; Aeby, GS; Willis, BL; Francis, DS; Bourne, DG",SCIENTIFIC REPORTS,10.1038/s41598-020-76792-x,"Corals are dependent upon lipids as energy reserves to mount a metabolic response to biotic and abiotic challenges. This study profiled lipids, fatty acids, and microbial communities of healthy and white syndrome (WS) diseased colonies of Acropora hyacinthus sampled from reefs in Western Australia, the Great Barrier Reef, and Palmyra Atoll. Total lipid levels varied significantly among locations, though a consistent stepwise decrease from healthy tissues from healthy colonies (HH) to healthy tissue on WS-diseased colonies (HD; i.e. preceding the lesion boundary) to diseased tissue on diseased colonies (DD; i.e. lesion front) was observed, demonstrating a reduction in energy reserves. Lipids in HH tissues were comprised of high energy lipid classes, while HD and DD tissues contained greater proportions of structural lipids. Bacterial profiling through 16S rRNA gene sequencing and histology showed no bacterial taxa linked to WS causation. However, the relative abundance of Rhodobacteraceae-affiliated sequences increased in DD tissues, suggesting opportunistic proliferation of these taxa. While the cause of WS remains inconclusive, this study demonstrates that the lipid profiles of HD tissues was more similar to DD tissues than to HH tissues, reflecting a colony-wide systemic effect and provides insight into the metabolic immune response of WS-infected Indo-Pacific corals.",,,
,,Small atoll fresh groundwater lenses respond to a combination of natural climatic cycles and human modified geology,paper,NO PARC,-,,http://dx.doi.org/10.1016/j.scitotenv.2020.143838,,,2021,"Briggs, MA; Cantelon, JA; Kurylyk, BL; Kulongoski, JT; Mills, A; Lane, JW",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2020.143838,"Freshwater lenses underlying small ocean islands exhibit spatial variability and temporal fluctuations in volume, influencing ecologic management. For example, The Palmyra Atoll National Wildlife Refuge harbors one of the few surviving native stands of Pisonia grandis in the central Pacific Ocean, yet these trees face pressure from groundwater salinization, with little basic groundwater data to guide decision making. Adding to natural complexity, the geology of Palmyra was heavily altered by dredge and fill activities. Our study based at this atoll combines geophysical and hydrological field measurements from 2008 to 2019 with groundwater modeling to study the drivers of observed freshwater lens dynamics. Electromagnetic induction (EMI) field data were collected on the main atoll islands over repeat transects in 2008 following 'strong' La Nifia conditions (wet) and in 2016 during 'very strong' Cl Nitio conditions (dry). Shallow monitoring wells were installed adjacent to the geophysical transects in 2013 and screened within the fresh/saline groundwater transition zone. Temporal EMI and monitoring well data showed a strong contraction of the freshwater lens in response to El Nifio conditions, and indicated a thicker lens toward the ocean side, an opposite spatial pattern to that observed for many other Pacific islands. On an outer islet where a stand of mature Pisonia trees exist, EMI surveys revealed only a thin (<3 m from land surface) layer of brackish groundwater during Cl Nifio. Numerical groundwater simulations were performed for a range of permeability distributions and climate conditions at Palmyra. Results revealed that the observed atypical lens asymmetry is likely due to more efficient submarine groundwater discharge on the lagoon side as a result of lagoon dredging and filling with high-permeability material. Simulations also predict large decreases (40%) in freshwater lens volume during dry cycles and highlight threats to the Pisonia trees, yielding insight for atoll ecosystem management worldwide. Published by Elsevier B.V.",,,
,,Host-parasite relationships between seabirds and the haemadipsid leech Chtonobdella palmyrae (Annelida: Clitellata) inhabiting oceanic islands in the Pacific Ocean,paper,NO PARC,-,,http://dx.doi.org/10.1017/S0031182020001729,,,2020,"Nakano, T; Suzuki, H; Suzuki, N; Kimura, Y; Sato, T; Kamigaichi, H; Tomita, N; Yamasaki, T",PARASITOLOGY,10.1017/S0031182020001729,"The duognathous haemadipsid leeches of the genus Chtonobdella show a trans-oceanic distribution throughout the Indo-Pacific region. Although passive long-distance dispersal (LDD) of Chtonobdella leeches by birds has been suggested, little is known about the host-parasite relationships between avian hosts and Chtonobdella leeches. In the current study, we investigated Chtonobdella leech infestations of the eyes and other mucus membranes of migratory procellariiform seabirds, Pterodroma hypoleuca and Oceanodroma tristrami, captured at six locations in the Bonin Islands, Honshu and Okinawa Island, Japan. Analyses of the partial sequences of 18S rRNA, 28S rRNA, and mitochondrial cytochrome c oxidase subunit I (COI) and morphological examination of the specimens demonstrated that the Chtonobdella leeches belonged to Chtonobdella palmyrae, which is indigenous to Palmyra Atoll in the Northern Line Islands. A dominant COI sequence type was observed in samples from all six sites; therefore, C. palmyrae almost surely dispersed approximately 1000 km by infesting the eyes and mucus membranes of procellariiform seabirds. The host-parasite relationships between procellariiform seabirds and C. palmyrae provide explicit evidence of the LDD of duognathous haemadipsid leeches. The taxonomic status of Haemadipsa zeylanica ivosimae from the Volcano Islands is also briefly discussed.",,,
,,Spatial scaling properties of coral reef benthic communities,paper,NO PARC,-,,http://dx.doi.org/10.1111/ecog.05331,,,2021,"Ford, HV; Gove, JM; Davies, AJ; Graham, NAJ; Healey, JR; Conklin, EJ; Williams, GJ",ECOGRAPHY,10.1111/ecog.05331,"The spatial structure of ecological communities on tropical coral reefs across seascapes and geographies have historically been poorly understood. Here we addressed this for the first time using spatially expansive and thematically resolved benthic community data collected around five uninhabited central Pacific oceanic islands, spanning 6 degrees latitude and 17 degrees longitude. Using towed-diver digital image surveys over similar to 140 linear km of shallow (8-20 m depth) tropical reef, we highlight the autocorrelated nature of coral reef seascapes. Benthic functional groups and hard coral morphologies displayed significant spatial clustering (positive autocorrelation) up to kilometre-scales around all islands, in some instances dominating entire sections of coastline. The scale and strength of these autocorrelation patterns showed differences across geographies, but patterns were more similar between islands in closer proximity and of a similar size. For example, crustose coralline algae (CCA) were clustered up to scales of 0.3 km at neighbouring Howland and Baker Islands and macroalgae were spatially clustered at scales up to similar to 3 km at both neighbouring Kingman Reef and Palmyra Atoll. Of all the functional groups, macroalgae had the highest levels of spatial clustering across geographies at the finest resolution of our data (100 m). There were several cases where the upper scale at which benthic community members showed evidence of spatial clustering correlated highly with the upper scales at which concurrent gradients in physical environmental drivers were spatially clustered. These correlations were stronger for surface wave energy than subsurface temperature (regardless of benthic group) and turf algae and CCA had the closest alignments in scale with wave energy across functional groups and geographies. Our findings suggest such physical drivers not only limit or promote the abundance of various benthic competitors on coral reefs, but also play a key role in governing their spatial scaling properties across seascapes.",,,
,,A Continuous Record of Central Tropical Pacific Climate Since the Midnineteenth Century Reconstructed From Fanning and Palmyra Island Corals: A Case Study in Coral Data Reanalysis,paper,NO PARC,-,,http://dx.doi.org/10.1029/2020PA003848,,,2020,"Sanchez, SC; Westphal, N; Haug, GH; Cheng, H; Edwards, RL; Schneider, T; Cobb, KM; Charles, CD",PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY,10.1029/2020PA003848,"Accurate estimation of central tropical Pacific (CTP) climate variability on interannual to centennial time scales is required for robust projections of future global climate trends. Here we outline an approach that blends instrumental and coral proxy observations to yield a continuous, monthly resolved record of climate evolution in the CTP spanning the past 160 years. We concatenate coral oxygen isotope (delta O-18) records from multiple living and fossil corals collected from Fanning Island (4 degrees N, 160 degrees W) and Palmyra Island (5 degrees N; 162 degrees W) located in the heart of the El Nino-Southern Oscillation. We use the regularized expectation maximization (RegEM) method to impute missing data across short gaps of 5 to 23 years within and beyond individual coral records. The resulting monthly resolved Fanning/Palmyra Island climate record spans continuously from 1863 to 2016 and provides an example of how extended time series can be built from shorter coral segments. The extended record highlights the strong trend toward warmer and wetter mean conditions in late twentieth century, in agreement with the majority of climate model hindcast simulations. The continuous reconstruction also enables a direct comparison of four exceptionally strong El Nino events (1877-1878, 1940-1941, 1997-1998, and 2015-2016). Three of these very strong El Nino events in the CTP featured a precursor warm event in the prior year and that may have favored the development of a strong El Nino event.",,,
