title,pub_status,pub_date,parc_status,parc_number,lib_status,pub_location,data_link,comments,parc_ref,publication_year,author,publication_title,doi,url,date,journal_abbreviation
"A phylogenomic examination of Palmyra Atoll’s
corallimorpharian invader",PUBLISHED,07/11/2021,UNLISTED,-,INCOMPLETE,https://doi.org/10.1007/s00338-021-02143-5,NA,PDF need to be added to the files folder in the Drive,NA,NA,NA,NA,NA,NA,NA,NA
An evaluation of the drivers of movement and foraging behaviors of tropical parrotfishes across management regimes and spatiotemporal scales,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Bacterial coral pathogens of the genus Vibrio,-,-,UNLISTED,-,INCOMPLETE,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biological-physical interactions in Pacific coral reef ecosystems,-,-,UNLISTED,-,INCOMPLETE,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biology and Ecology of the Recreational Bonefish Fishery at Palmyra Atoll National Wildlife Refuge with Comparisons to Other Pacific Islands,-,-,UNLISTED,-,INCOMPLETE,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coral reef resilience to climate change: insights from field measurements and models,-,-,UNLISTED,-,INCOMPLETE,-,NA,-,NA,NA,NA,NA,NA,NA,NA,NA
Ecological importance of large fishes,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Ecophysiology of coral reef primary producers: Response to natural and anthropogenic environmental change,-,-,UNLISTED,-,INCOMPLETE,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA
Effects of seabird derived subsidies on aquatic ecosystems,PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0008,-,-,NA,2011,"Young, H.S.; Hurrey, L.; Kolb, G.; Anderson, W.B.","Seabird Islands:  Ecology, Invasion and Restoration",NA,NA,2011,NA
"Encyclopedia of Modern Coral Reefs: Structure, Form and Process",PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1007/978-90-481-2639-2,-,-,NA,2011,NA,NA,NA,http://link.springer.com/10.1007/978-90-481-2639-2,2011,NA
