title,pub_status,pub_date,parc_status,parc_number,lib_status,pub_location,data_link,comments,reference,parc_ref,publication_year,author,publication_title,doi,url,date,journal_abbreviation
Effects Of Seabird Derived Subsidies On Aquatic Ecosystems,PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0008,-,-,NA,NA,2011,"Young, H.S.; Hurrey, L.; Kolb, G.; Anderson, W.B.","Seabird Islands:  Ecology, Invasion and Restoration",NA,NA,2011,NA
"Encyclopedia Of Modern Coral Reefs: Structure, Form And Process",PUBLISHED,-,UNLISTED,-,UPLOADED,https://doi.org/10.1007/978-90-481-2639-2,-,-,NA,NA,2011,NA,NA,NA,http://link.springer.com/10.1007/978-90-481-2639-2,2011,NA
"Prey Release, Trophic Cascades, And Phase Shifts In Tropical Nearshore Ecosystems",PUBLISHED,-,UNLISTED,-,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,Book,NA,NA,2010,"Sandin, Stuart A; Walsh, Sheila M; Jackson, Jeremy BC","Trophic Cascades: predators, prey, and the changing dynamics of nature",NA,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",2010,NA
U/Th-Dating Living And Young Fossil Corals From The Central Tropical Pacific,PUBLISHED,3/13/2003,ASSIGNED,PARC-0002,UPLOADED,https:/doi.org/10.1016/S0012-821X(03)00138-9,-,Some supporting information available,"Cobb, K.M., C.D. Charles, H. Cheng, M. Kastnew and R.L. Edwards 2003. U/Th-dating living and young fossil corals from the central tropical Pacific. Earth and Planetary Science Letters 210(1-2): 91-103.","Cobb, K.M., C.D. Charles, H. Cheng, M. Kastnew and R.L. Edwards 2003. U/Th-dating living and young fossil corals from the central tropical Pacific. Earth and Planetary Science Letters 210(1-2): 91-103. {PARC-0002}",2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Kastner, Miriam; Edwards, R.Lawrence",Earth and Planetary Science Letters,10.1016/S0012-821X(03)00138-9,https://linkinghub.elsevier.com/retrieve/pii/S0012821X03001389,2003-05,Earth and Planetary Science Letters
"Indirect Effects Of Algae On Coral: Algae-Mediated, Microbe-Induced Coral Mortality",PUBLISHED,4/26/2006,ASSIGNED,PARC-0003,UPLOADED,https://doi.org/10.1111/j.1461-0248.2006.00937.x,-,-,NA,"Smith, J.E., M. Shaw, R.A. Edwards, D. Obura, O. Pantos, E. Sala, S.A. Sandin, S. Smriga, M. Hatay and F.L. Rohwer 2006. Indirect effects of algae on coral: algae-mediated, microbe-induced coral mortality. Ecology Letters 9:835-845. {PARC-0003}",2006,"Smith, Jennifer E.; Shaw, Morrigan; Edwards, Rob A.; Obura, David; Pantos, Olga; Sala, Enric; Sandin, Stuart A.; Smriga, Steven; Hatay, Mark; Rohwer, Forest L.",Ecology Letters,10.1111/j.1461-0248.2006.00937.x,http://doi.wiley.com/10.1111/j.1461-0248.2006.00937.x,2006-07,Ecol Letters
A Divergent Mtdna Lineage Among Mesoplodon Beaked Whales: Molecular Evidence For A New Species In The Tropical Pacific?,PUBLISHED,3/31/2007,ASSIGNED,PARC-0004,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2007.00143.x,-,"No clear link to data provided, some raw data held in unpublished files, others in DNA surveillance database",NA,"Dalebout, M.L., C.S. Baker, D. Steel, K.M. Robertson, S.J. Chivers, W.F. Perrin, J.G. Mead, R.V. Grace and T.D. Schofield 2007. A divergent mtDNA lineage among Mesoplodon beaked whales: Molecular evidence for a new species in the tropical Pacific? Marine Mammal Science 23: 954-966. {PARC-0004}",2007,"Dalebout, Merel L.; Scott Baker, C.; Steel, Debbie; Robertson, Kelly M.; Chivers, Susan J.; Perrin, William F.; Mead, James G.; Grace, Roger V.; David Schofield, T.",Marine Mammal Science,10.1111/j.1748-7692.2007.00143.x,http://doi.wiley.com/10.1111/j.1748-7692.2007.00143.x,2007-10,Marine Mammal Sci
High Apex Predator Biomass On Remote Pacific Islands,PUBLISHED,10/10/2006,ASSIGNED,PARC-0005,UPLOADED,https://doi.org/10.1007/s00338-006-0158-x,-,-,NA,"Stevenson C , L.S. Katz, F. Micheli, B. Block, K.W. Heiman, C. Perle, K. Weng, R. Dunbar and J. Witting 2007. High apex predator biomass on remote Pacific islands. Coral Reefs 26:47-51 {PARC-0005}",2007,"Stevenson, Charlotte; Katz, Laure S.; Micheli, Fiorenza; Block, Barbara; Heiman, Kimberly W.; Perle, Chris; Weng, Kevin; Dunbar, Robert; Witting, Jan",Coral Reefs,10.1007/s00338-006-0158-x,http://link.springer.com/10.1007/s00338-006-0158-x,2007-03-06,Coral Reefs
Patterns Of Sponge Biodiversity And Abundance Across Different Biogeographic Regions,PUBLISHED,9/16/2008,ASSIGNED,PARC-0006,UPLOADED,https://doi.org/10.1007/s00227-008-1036-6,-,-,NA,"Bell, J.J. and J.L. Carballo 2008. Patterns of sponge biodiversity and abundance across different biogeographic regions. Marine Biology. 155:563-570. {PARC-0006}",2008,"Bell, James J.; Carballo, José Luis",Marine Biology,10.1007/s00227-008-1036-6,http://link.springer.com/10.1007/s00227-008-1036-6,2008-11,Mar Biol
"The Recent Carbonate Sediments Of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean",DISSERTATION,-,ASSIGNED,PARC-0007,UPLOADED,http://hdl.handle.net/10063/1001,-,Information sheet to PARC,NA,"Clark, O. 2008. The recent carbonate sediments of Palmyra Atoll, Northern Line Islands, Central Pacific Ocean. MSc Dissertation, Victoria University of Wellington, New Zealand. {PARC-0007}",NA,"Clark, Oscar",NA,NA,http://hdl.handle.net/10063/1001,NA,NA
"Differences In Fish-Assemblage Structure Between Fished And Unfished Atolls In The Northern Line Islands, Central Pacific",PUBLISHED,8/18/2008,ASSIGNED,PARC-0008,UPLOADED,https://doi.org/10.3354/meps07501,-,Previous title: Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands.,NA,"DeMartini, E.E., A.M. Friedlander, S.A. Sandin and E. Sala 2008. Predation effects revisited: structure of shallow-reef fish assemblages along an exploitation gradient in the northern Line Islands. Marine Ecology Progress Series 365: 199-215. {PARC-0008}",2008,"DeMartini, Edward E; Friedlander, Alan M; Sandin, Stuart A; Sala, Enric",Marine Ecology Progress Series,10.3354/meps07501,http://www.jstor.org/stable/24872844,2008,Mar Ecol Prog Ser
