title,publication_year,author,publication_title,doi,url,date,journal_abbreviation
application of the littoral cell concept to managing a protected atoll: palmyra atoll national wildlife refuge,2009,"Collen, JD; Gardner, JPA; Garton, DW",Ocean & Coastal Management,10.1016/j.ocecoaman.2009.10.007,https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007,2009-12,Ocean Coast Manage
scale‐dependent effects of habitat on movements and path structure of reef sharks at a predator‐dominated atoll,2009,"Papastamatiou, Yannis P; Lowe, Christopher G; Caselle, Jennifer E; Friedlander, Alan M",Ecology,10.1890/08-0491.1,https://www.ncbi.nlm.nih.gov/pubmed/19449694,2009-04,NA
cascading effects of a plant community shifts across ecosystem boundaries,2010,"Young, Hillary Suzanne",NA,NA,https://purl.stanford.edu/vw007np9389,2010,NA
"spatial and temporal patterns of scleractinian coral, soft coral, and zoanthid disease on a remote, near-pristine coral reef (palmyra atoll, central pacific)",2011,"Williams, Gareth J; Knapp, Ingrid S; Aeby, Greta S; Davy, Simon K",Diseases of Aquatic Organisms,10.3354/dao02323,https://www.ncbi.nlm.nih.gov/pubmed/21648237,2011-04-06,NA
the roles of productivity and ecosystem size in determining food chain length in tropical terrestrial ecosystems,2013,"Young, Hillary S; McCauley, Douglas J; Dunbar, Robert B; Hutson, Michael S; Ter-Kuile, Ana Miller; Dirzo, Rodolfo",Ecology,10.1890/12-0729.1,https://www.ncbi.nlm.nih.gov/pubmed/23687895,2013-03,NA
potential impacts of historical disturbance on green turtle health in the unique & protected marine ecosystem of palmyra atoll (central pacific),2014,"McFadden, Katherine W; Gómez, Andrés; Sterling, Eleanor J; Naro-Maciel, Eugenia",Marine pollution bulletin,10.1016/j.marpolbul.2014.10.012,https://www.ncbi.nlm.nih.gov/pubmed/25455822,2014-12-15,NA
"cryptic species obscure introduction pathway of the blue caribbean sponge (haliclona (soestella) caerulea),(order: haplosclerida) to palmyra atoll, central pacific",2015,"Knapp, Ingrid S; Forsman, Zac H; Williams, Gareth J; Toonen, Robert J; Bell, James J",PeerJ,10.7717/peerj.1170/supp-1,https://www.ncbi.nlm.nih.gov/pubmed/26339548,2015,NA
predation risk influences feeding rates but competition structures space use for a common pacific parrotfish,2017,"Davis, Kathryn; Carlson, Peter M; Bradley, Darcy; Warner, Robert R; Caselle, Jennifer E",Oecologia,10.1007/s00442-017-3857-9,https://www.ncbi.nlm.nih.gov/pubmed/28342012,2017-05,NA
cascading community and ecosystem consequences of introduced palms in tropical islands,2017,"Young, Hillary S; Miller ter-Kuile, Ana; McCauley, Douglas; Dirzo, Rodolfo",Canadian Journal of Zoology,10.1139/cjz-2016-0107,https://cdnsciencepub.com/doi/abs/10.1139/cjz-2016-0107%40cjz-vsi.issue01,2017-03,Can J Zool
"the coconut palm, cocos nucifera, impacts forest composition and soil characteristics at palmyra atoll, central pacific: palms impact forest and soil characteristics",2010,"Young, Hillary S.; Raab, Ted K.; McCauley, Douglas J.; Briggs, Amy A.; Dirzo, Rodolfo",Journal of Vegetation Science,10.1111/j.1654-1103.2010.01219.x,http://doi.wiley.com/10.1111/j.1654-1103.2010.01219.x,2010-12,NA
coral records of central tropical pacific radiocarbon variability during the last millennium: coral <sup>14</sup> c during the last millennium,2010,"Zaunbrecher, Laura K.; Cobb, Kim M.; Beck, J. Warren; Charles, Christopher D.; Druffel, Ellen R. M.; Fairbanks, Richard G.; Griffin, Sheila; Sayani, Hussein R.",Paleoceanography,10.1029/2009PA001788,http://doi.wiley.com/10.1029/2009PA001788,2010-12,Paleoceanography
echolocation signals of a beaked whale at palmyra atoll,2010,"Baumann-Pickering, Simone; Wiggins, Sean M.; Roth, Ethan H.; Roch, Marie A.; Schnitzler, Hans-Ulrich; Hildebrand, John A.",The Journal of the Acoustical Society of America,10.1121/1.3409478,http://asa.scitation.org/doi/10.1121/1.3409478,2010-06,The Journal of the Acoustical Society of America
"behavior of melon-headed whales, <i>peponocephala electra</i> , near oceanic islands",2009,"Brownell Jr., Robert L.; Ralls, Katherine; Baumann-Pickering, Simone; Poole, M. Michael",Marine Mammal Science,10.1111/j.1748-7692.2009.00281.x,http://doi.wiley.com/10.1111/j.1748-7692.2009.00281.x,2009-07,NA
el niño/southern oscillation and tropical pacific climate during the last millennium,2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Edwards, R. Lawrence",Nature,10.1038/nature01779,http://www.nature.com/articles/nature01779,2003-07,Nature
shoreline changes and sediment redistribution at palmyra atoll (equatorial pacific ocean): 1874–present,2009,"Collen, J. D.; Garton, D. W.; Gardner, J. P. A.",Journal of Coastal Research,10.2112/08-1007.1,http://www.bioone.org/doi/abs/10.2112/08-1007.1,2009-05,Journal of Coastal Research
microbial ecology of four coral atolls in the northern line islands,2008,"Dinsdale, Elizabeth A.; Pantos, Olga; Smriga, Steven; Edwards, Robert A.; Angly, Florent; Wegley, Linda; Hatay, Mark; Hall, Dana; Brown, Elysa; Haynes, Matthew; Krause, Lutz; Sala, Enric; Sandin, Stuart A.; Thurber, Rebecca Vega; Willis, Bette L.; Azam, Farooq; Knowlton, Nancy; Rohwer, Forest",PLoS ONE,10.1371/journal.pone.0001584,https://dx.plos.org/10.1371/journal.pone.0001584,2008-02-27,PLoS ONE
biology and ecology of the recreational boneﬁsh fishery at palmyra atoll national wildlife refuge with comparisons to other paciﬁc islands,NA,"Friedlander, Alan M; Caselle, Jennifer E; Beets, Jim; Lowe, Christopher G; Bowen, Brian W; Ogawa, Tom K; Kelley, Kevin M; Calitri, Todd; Lange, Matt; Anderson, Bruce S",NA,NA,NA,NA,NA
